,X,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,VEHICLE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2
1,35624,1/21/14,15:40,MANHATTAN,10035,40.8064149,-73.9422623,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
2,35625,1/21/14,9:50,BROOKLYN,11236,40.6436608,-73.9006685,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
3,35626,1/21/14,23:55,BROOKLYN,NA,40.7304453,-73.9136638,0,0,0,0,0,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
4,35627,1/21/14,10:45,MANHATTAN,10010,40.7441866,-73.9918693,0,0,0,0,0,0,0,0,Unspecified,VAN,64,0,206,0,-110,68,340
5,35628,1/21/14,10:55,BRONX,10467,40.8776332,-73.8673763,0,0,0,0,0,0,0,0,Other Vehicular,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
6,35629,1/21/14,20:30,QUEENS,NA,40.6255399,-74.1782131,0,0,0,0,0,0,0,0,Unspecified,OTHER,64,0,206,0,-110,68,340
7,35630,1/21/14,17:57,BROOKLYN,11230,40.6265698,-73.9709207,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
8,35631,1/21/14,17:00,MANHATTAN,10017,40.7518951,-73.9675888,0,0,0,0,0,0,0,0,Unspecified,SMALL COM VEH(4 TIRES),64,0,206,0,-110,68,340
9,35632,1/21/14,16:20,MANHATTAN,10031,40.8241267,-73.954828,1,0,1,0,0,0,0,0,Pavement Slippery,OTHER,64,0,206,0,-110,68,340
10,35633,1/21/14,15:30,BROOKLYN,11207,40.6511499,-73.8900044,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
11,35634,1/21/14,14:00,STATEN ISLAND,NA,40.6305464,-74.0169903,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
12,35635,1/21/14,10:00,MANHATTAN,10035,40.8030248,-73.936309,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
13,35636,1/21/14,10:00,MANHATTAN,10003,40.7332923,-73.9871799,0,0,0,0,0,0,0,0,Unspecified,VAN,64,0,206,0,-110,68,340
