,X,TIME,DATE,TIME_min,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,VEHICLE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2
177,12501,0:03,1/8/15,3,QUEENS,11361,40.7600833,-73.7702745,0,0,0,0,0,0,0,0,Unspecified,SMALL COM VEH(4 TIRES),0,0,0,-60,-132,64,310
178,12502,0:25,1/8/15,25,MANHATTAN,10013,40.7193963,-74.0018831,0,0,0,0,0,0,0,0,Backing Unsafely,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
179,12503,0:40,1/8/15,40,BRONX,10466,40.8890078,-73.8564131,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
180,12504,0:45,1/8/15,45,MANHATTAN,10003,40.7310195,-73.9859102,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
181,12505,0:45,1/8/15,45,BROOKLYN,11211,40.7140707,-73.9543399,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
182,12506,0:50,1/8/15,50,MANHATTAN,10019,40.7629663,-73.9739693,0,0,0,0,0,0,0,0,Other Vehicular,TAXI,0,0,0,-60,-132,64,310
144,12468,1:00,1/8/15,60,QUEENS,11101,40.7447332,-73.9335895,0,0,0,0,0,0,0,0,Turning Improperly,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
143,12467,1:15,1/8/15,75,QUEENS,11413,40.6660102,-73.78953,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
142,12466,1:18,1/8/15,78,QUEENS,11367,40.7266052,-73.8142403,0,0,0,0,0,0,0,0,Physical Disability,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
141,12465,1:30,1/8/15,90,QUEENS,11693,40.6030305,-73.8200508,0,0,0,0,0,0,0,0,View Obstructed/Limited,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
45,12369,3:25,1/8/15,205,MANHATTAN,10017,40.7514416,-73.9760491,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
20,12344,3:35,1/8/15,215,MANHATTAN,10036,40.7558074,-73.9864031,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
19,12343,3:45,1/8/15,225,QUEENS,11691,40.5975534,-73.7784749,0,0,0,0,0,0,0,0,Other Vehicular,OTHER,0,0,0,-60,-132,64,310
18,12342,5:10,1/8/15,310,QUEENS,11377,40.7518401,-73.9035714,0,0,0,0,0,0,0,0,Unspecified,TAXI,0,0,0,-60,-132,64,310
17,12341,5:24,1/8/15,324,BROOKLYN,11228,40.6180573,-74.0205243,0,0,0,0,0,0,0,0,Unspecified,LIVERY VEHICLE,0,0,0,-60,-132,64,310
16,12340,5:30,1/8/15,330,MANHATTAN,10019,40.7617191,-73.9828066,0,0,0,0,0,0,0,0,Other Vehicular,TAXI,0,0,0,-60,-132,64,310
449,12773,5:45,1/8/15,345,QUEENS,11421,40.6947829,-73.8525689,0,0,0,0,0,0,0,0,Other Electronic Device,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
448,12772,5:51,1/8/15,351,MANHATTAN,10065,40.7631141,-73.9625151,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
364,12688,6:00,1/8/15,360,BRONX,10473,40.8254564,-73.8495297,1,0,1,0,0,0,0,0,Unspecified,BUS,0,0,0,-60,-132,64,310
363,12687,6:05,1/8/15,365,MANHATTAN,10016,40.7471531,-73.9854954,1,0,1,0,0,0,0,0,Oversized Vehicle,PICK-UP TRUCK,0,0,0,-60,-132,64,310
447,12771,6:10,1/8/15,370,BROOKLYN,11205,40.6978048,-73.9697284,0,0,0,0,0,0,0,0,Other Vehicular,LARGE COM VEH(6 OR MORE TIRES),0,0,0,-60,-132,64,310
446,12770,6:13,1/8/15,373,QUEENS,11102,40.7698881,-73.9278061,0,0,0,0,0,0,0,0,Failure to Keep Right,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
443,12767,6:15,1/8/15,375,BROOKLYN,11215,40.6669637,-73.9782134,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
442,12766,6:20,1/8/15,380,BROOKLYN,11212,40.654313,-73.9175769,1,0,0,0,0,0,1,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
440,12764,6:30,1/8/15,390,BROOKLYN,11207,40.659932,-73.8916479,1,0,1,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
441,12765,6:30,1/8/15,390,QUEENS,11364,40.7471478,-73.7775335,0,0,0,0,0,0,0,0,Traffic Control Disregarded,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
439,12763,6:41,1/8/15,401,QUEENS,11101,40.7497328,-73.9360965,0,0,0,0,0,0,0,0,Unspecified,TAXI,0,0,0,-60,-132,64,310
438,12762,6:50,1/8/15,410,BRONX,10474,40.8163681,-73.8821121,0,0,0,0,0,0,0,0,Turning Improperly,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
435,12759,6:55,1/8/15,415,BROOKLYN,11212,40.6547385,-73.9069229,1,0,0,0,0,0,1,0,Outside Car Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
436,12760,6:55,1/8/15,415,NA,NA,40.7620943,-73.7569053,0,0,0,0,0,0,0,0,Other Vehicular,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
437,12761,6:55,1/8/15,415,QUEENS,11354,40.7653631,-73.8278647,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
433,12757,7:00,1/8/15,420,MANHATTAN,10022,40.7563818,-73.9643237,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
434,12758,7:00,1/8/15,420,BROOKLYN,11216,40.6865105,-73.954539,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
432,12756,7:01,1/8/15,421,BROOKLYN,11214,40.6103161,-74.0030686,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
137,12461,7:05,1/8/15,425,BROOKLYN,11208,40.6651898,-73.8693848,1,0,1,0,0,0,0,0,Unspecified,BUS,0,0,0,-60,-132,64,310
46,12370,7:10,1/8/15,430,QUEENS,11375,40.7200658,-73.8408498,1,0,1,0,0,0,0,0,Driver Inexperience,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
431,12755,7:10,1/8/15,430,BROOKLYN,11233,40.6772023,-73.9266049,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
47,12371,7:22,1/8/15,442,BRONX,10473,40.8223007,-73.872993,0,0,0,0,0,0,0,0,Steering Failure,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
429,12753,7:30,1/8/15,450,NA,NA,40.7303695,-73.9138714,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
430,12754,7:30,1/8/15,450,QUEENS,11429,40.7088643,-73.7326394,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
362,12686,7:33,1/8/15,453,MANHATTAN,10022,40.7589756,-73.9645027,0,0,0,0,0,0,0,0,Lost Consciousness,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
361,12685,7:40,1/8/15,460,NA,NA,40.6198806,-74.0230108,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
359,12683,7:45,1/8/15,465,QUEENS,11385,40.705766,-73.8965724,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,0,0,0,-60,-132,64,310
360,12684,7:45,1/8/15,465,BROOKLYN,11221,40.6930216,-73.9162561,0,0,0,0,0,0,0,0,Unspecified,OTHER,0,0,0,-60,-132,64,310
348,12672,7:50,1/8/15,470,QUEENS,11102,40.7682283,-73.9291364,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
428,12752,7:50,1/8/15,470,BRONX,10473,40.8150304,-73.8614824,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,0,0,0,-60,-132,64,310
